time,setpoint,measured,err,sum_err,der,output,l_speed,r_speed
6.72,100,220.956,-120.956,-28.0907,-604.483,-3.02389,6,0.11611
6.752,100,207.694,-107.694,-29.8139,828.84,-2.69235,5.83235,0.447647
6.784,100,218.3,-118.3,-31.7066,-662.841,-2.95749,6,0.18251
6.816,100,214.569,-114.569,-33.5398,233.151,-2.86423,6,0.27577
6.848,100,207.059,-107.059,-35.2527,469.4,-2.67647,5.81647,0.46353
6.88,100,212.644,-112.644,-37.055,-349.088,-2.8161,5.9561,0.323895
6.912,100,209.627,-109.627,-38.809,188.585,-2.74067,5.88067,0.399329
6.944,100,193.462,-93.4623,-40.3044,1010.28,-2.33656,5.47656,0.803441
6.976,100,205.213,-105.213,-41.9878,-734.443,-2.63034,5.77034,0.509664
7.008,100,203.244,-103.244,-43.6397,123.094,-2.5811,5.7211,0.558902
7.04,100,191.272,-91.272,-45.1001,748.245,-2.2818,5.4218,0.8582
7.072,100,187.323,-87.3232,-46.4973,246.797,-2.18308,5.32308,0.956919
7.104,100,169.918,-69.9182,-47.616,1087.82,-1.74795,4.88795,1.39205
7.136,100,163.117,-63.117,-48.6258,425.07,-1.57793,4.71793,1.56207
7.168,100,153.974,-53.9738,-49.4894,571.449,-1.34935,4.48935,1.79065
7.2,100,143.991,-43.9906,-50.1933,623.951,-1.09977,4.23977,2.04023
7.232,100,138.772,-38.7716,-50.8136,326.192,-0.969289,4.10929,2.17071
7.264,100,128.022,-28.0219,-51.262,671.855,-0.700547,3.84055,2.43945
7.296,100,120.939,-20.939,-51.597,442.678,-0.523476,3.66348,2.61652
7.328,100,120.706,-20.7057,-51.9283,14.5853,-0.517642,3.65764,2.62236
7.36,100,110.524,-10.5242,-52.0967,636.34,-0.263106,3.40311,2.87689
7.392,100,114.791,-14.7907,-52.3333,-266.654,-0.369767,3.50977,2.77023
7.424,100,104.215,-4.21494,-52.4008,660.984,-0.105373,3.24537,3.03463
7.456,100,105.722,-5.72243,-52.4923,-94.2181,-0.143061,3.28306,2.99694
7.488,100,97.7621,2.23793,-52.4565,497.522,0.0559482,3.08405,3.19595
7.52,100,99.4484,0.551575,-52.4477,-105.397,0.0137894,3.12621,3.15379
7.552,100,93.4923,6.50775,-52.3436,372.261,0.162694,2.97731,3.30269
7.584,100,82.9361,17.0639,-52.0705,659.762,0.426599,2.7134,3.5666
7.616,100,84.9674,15.0326,-51.83,-126.962,0.375814,2.76419,3.51581
7.648,100,82.5381,17.4619,-51.5506,151.835,0.436548,2.70345,3.57655
7.68,100,75.576,24.424,-51.1598,435.132,0.610601,2.5294,3.7506
